Título do Livro,Autor,Quantidade de Páginas,Tempo de Leitura,Nota Média,Leram,Lendo,Querem,Relendo,Abandonos,Resenhas,Favoritos,Avaliaram
A Casa No Lago - Uma história da Alemanha,Thomas Harding,408 páginas,13h 36m,4.2,167,6,392,0,13,21,11,126
A Bela e a Fera - Edição oficial do filme,Elizabeth Rudnick,204 páginas,6h 48m,4.2,9072,361,8026,35,252,533,816,6290
A Máquina Performática - A literatura no campo experimental,"Gonzalo Aguilar, Mario Cámara",192 páginas,6h 24m,4.2,17,0,34,0,1,1,1,10
Bento XVI. O Último Testamento - Em suas próprias palavras,"Joseph Ratzinger, Peter Seewald",288 páginas,9h 36m,4.5,183,12,149,0,5,12,7,136
Gordelícias -,"Cacau Protásio, Fabiana Karla, Simone Gutierrez, Mariana Xavier",192 páginas,6h 24m,3.8,73,5,628,1,2,10,4,49
Terceira Voz (Olivia Rönning & Tom Stilton) -,Cilla & Rolf Björlind,464 páginas,15h 28m,3.8,128,6,219,0,2,8,3,88
Desde o Primeiro Olhar -,Mario Vitor Rodrigues,272 páginas,9h 4m,3,1,0,24,0,0,0,0,1
O Abandono da Fé (Kingmaker #2) -,Toby Clements,464 páginas,15h 28m,4.3,78,6,229,0,0,11,5,64
Pablo Escobar Em Flagrante - O que meu Pai nunca me contou,Juan Pablo Escobar,256 páginas,8h 32m,3.9,259,22,362,0,4,11,6,159
Vingança (Gladiador #4) -,Simon Scarrow,304 páginas,10h 8m,4.1,20,1,62,0,2,2,2,13
Uma Noite Como Esta (Quarteto Smythe-Smith #2) -,Julia Quinn,272 páginas,9h 4m,4.1,14693,224,7326,8,105,1012,1009,9743
"Tudo O Que Ele Deseja (Rainhas do Romance #122) - (Família Kowalski, #5)",Shannon Stacey,288 páginas,9h 36m,3.5,84,4,881,0,3,7,4,55
"Todos, nenhum: simplesmente humano -",Jeff Garvin,400 páginas,13h 20m,4.3,1225,61,2304,1,31,163,218,1015
Todos de Pé Para Perry Cook -,Leslie Connor,288 páginas,9h 36m,4.3,1487,58,1986,0,45,153,227,1177
"Tá no ar, no livro -","Marcius Melhem, Marcelo Adnet",192 páginas,6h 24m,4.3,42,2,705,1,2,5,4,20
Star Wars: Império e Rebelião – O fio da navalha (Império e Rebelião #1) -,Martha Wells,352 páginas,11h 44m,3.9,188,19,1252,0,5,19,5,136
Star Wars: Uma Nova Esperança. A Vida de Luke Skywalker (Legends) -,Ryder Windham,192 páginas,6h 24m,3.8,237,23,2059,0,3,30,8,165
Simplesmente o Paraíso (Quarteto Smythe-Smith #1) -,Julia Quinn,272 páginas,9h 4m,4.1,18556,266,7878,14,100,1390,1228,12742
"Segredo Precioso (Paixão Ardente #015) - (Herdeiros Secretos, #3)",Kate Hewitt,192 páginas,6h 24m,3,50,2,48,0,0,2,1,30
Salva Por Um Cavalheiro (As Irmãs Cynster #2) - Um bilhete misterioso. Uma dama raptada. Um herói inusitado.,Stephanie Laurens,352 páginas,11h 44m,3.8,775,26,2372,1,17,56,49,529
"Às urnas, cidadãos! -",Thomas Piketty,192 páginas,6h 24m,3.6,46,3,209,0,2,6,0,27
Revelação: A Amante do Sheik & Tempestade de Prazer (Coração do Deserto #003) -,"Jennie Lucas, Sharon Kendrick",306 páginas,10h 12m,5,2,0,10,0,0,1,0,1
Retrato do artista quando jovem (Clássicos de Ouro) -,James Joyce,336 páginas,11h 12m,3.8,2694,257,4211,9,217,141,20,1664
Pequenas grandes mentiras -,Liane Moriarty,400 páginas,13h 20m,4.4,12966,378,11371,9,225,1137,583,9904
Paris para um e outros contos -,Jojo Moyes,240 páginas,8h 0m,3.7,7089,330,8595,4,242,467,285,4778
Outros jeitos de usar a boca -,Rupi Kaur,208 páginas,6h 56m,4.1,96375,1665,30870,105,458,5037,6145,54555
Os Mistérios de Sir Richard (Quarteto Smythe-Smith #4) -,Julia Quinn,280 páginas,9h 20m,3.8,12634,114,8061,6,64,895,700,8242
Os Lusíadas -,Luís de Camões,320 páginas,10h 40m,3.4,16712,622,6911,32,1430,321,3,8061
Opala (Saga Lux #3) - Eles vão arriscar tudo!,Jennifer L. Armentrout,416 páginas,13h 52m,4.1,6753,230,3251,17,185,425,598,4731
O Verão em Que Salvei o Mundo em 65 Dias -,Michele Weber Hurwitz,288 páginas,9h 36m,4.1,361,9,1079,1,7,25,38,280
"O Segredo do Bambu - Uma história sobre sabedoria, equilíbrio e resiliência",Ismael Cala,224 páginas,7h 28m,4,54,7,136,0,9,6,3,38
O Ruído do Tempo -,Julian Barnes,176 páginas,5h 52m,3.9,145,5,180,0,3,12,7,101
O Regresso do Catão (Catão #2) -,Matilde Asensi,528 páginas,17h 36m,3.7,66,7,570,0,1,3,3,36
O Guia do Herói Para Ser Um Fora da Lei (Liga dos Príncipes #3) -,Christopher Healy,350 páginas,11h 40m,4.1,60,4,90,0,2,4,3,41
O Guardião Invisível (Trilogia Baztán #1) -,Dolores Redondo,352 páginas,11h 44m,3.8,581,86,2047,1,32,102,10,448
O Cortiço -,Aluísio Azevedo,304 páginas,10h 8m,3.8,181777,4210,26401,309,5466,3484,145,63472
O Canto dos Segredos (Dublin Murder Squad #5) -,Tana French,608 páginas,20h 16m,3.7,158,14,328,0,7,13,7,121
O amuleto de ouro (Mapmakers #2) -,S.E. Grove,370 páginas,12h 20m,4.2,200,10,349,0,10,20,23,147
Nunca Jamais (Never Never #2) - Parte Dois,"Colleen Hoover, Tarryn Fisher",192 páginas,6h 24m,3.8,14811,176,6871,7,110,1530,327,10134
Monge Urbano -,Pedram Shojai,288 páginas,9h 36m,4.1,37,9,92,0,3,0,3,24
Meu Jeito Certo de Fazer Tudo Errado -,"Klara Castanho, Luiza Trigo",384 páginas,12h 48m,4,2735,102,2247,12,77,189,163,1941
Memórias de uma moça bem-comportada (Clássicos de Ouro) -,Simone de Beauvoir,320 páginas,10h 40m,4.3,1084,204,4028,1,51,49,39,582
Memórias da Segunda Guerra Mundial - Volume 2 (1941-1945),Winston Churchill,630 páginas,21h 0m,4.6,262,43,723,2,10,11,22,173
Memórias da Segunda Guerra Mundial - Volume 1 (1919-1941),Winston Churchill,560 páginas,18h 40m,4.6,418,113,825,0,21,21,36,284
Melhores Amigas -,Emily Gould,256 páginas,8h 32m,3,64,11,1314,0,9,11,3,44
Matéria escura -,Blake Crouch,352 páginas,11h 44m,4.3,32615,1811,39823,25,535,5686,4135,25662
Mar de histórias (Antologia do conto mundial #I) - Das origens ao fim da Idade Média,"(Orgs.) Aurélio Buarque de Holanda Ferreira, Paulo Rónai",272 páginas,9h 4m,4.3,146,23,216,1,1,10,2,89
Lugar de bicho -,Viviane Veiga Távora,32 páginas,1h 4m,3.9,28,6,32,0,0,1,0,16
"Leitura Do Texto, Leitura Do Mundo -",Domício Proença Filho,272 páginas,9h 4m,3.9,10,2,43,0,0,4,1,7
Isolados - O Enigma -,Bibi Tatto,144 páginas,4h 48m,3.3,345,4,73,1,5,23,10,193
História do Pensamento Ocidental (Clássicos de Ouro) -,Bertrand Russell,416 páginas,13h 52m,4.4,355,108,2037,5,22,12,12,200
"Herdeira do Escândalo & Herdeira do Orgulho (Jessica Minissérie #15) - (As Noivas Balfour, #1)",Sharon Kendrick,320 páginas,10h 40m,3.6,47,4,28,0,1,2,1,25
Frankenstein - Ou o Prometeu Moderno,Mary Shelley,299 páginas,9h 58m,4.2,76408,6863,56285,193,2037,7773,1725,46534
"Fonte de Amor (Paixão Audácia #15) - (Amores Inesperados, #3)",Maisey Yates,192 páginas,6h 24m,3.6,68,4,49,0,1,7,0,46
Eu estou pensando em acabar com tudo -,Iain Reid,224 páginas,7h 28m,3.6,12157,443,11414,14,352,2209,973,10030
Eu e você no fim do mundo -,Siobhan Vivian,368 páginas,12h 16m,3.5,783,56,3557,4,53,71,36,561
Este livro está fora de controle! -,Richard Byrne,32 páginas,1h 4m,4.3,41,0,8,0,0,5,2,22
Esqueça o Amanhã (Esqueça o Amanhã #1) - Quando o futuro é o inimigo,Pintip Dunn,384 páginas,12h 48m,3.5,639,47,2236,1,30,95,35,481
Escolha sua vida - Crie suas próprias regras e seja feliz sendo você mesmo,Paula Abreu,144 páginas,4h 48m,4,503,61,2079,3,11,32,18,319
Edgar Allan Poe (Medo Clássico #1) - Vol. 1,Edgar Allan Poe,384 páginas,12h 48m,4.3,14494,2300,20274,36,409,676,1243,6952
Doce Traição (Paixão #483) -,Maya Blake,192 páginas,6h 24m,3.6,65,0,43,0,1,6,2,45
Doce Sedução (Amor imortal #2) - Amor Imortal,Halice FRS,312 páginas,10h 24m,4.3,217,8,1039,1,1,7,14,135
Discurso da Servidão Voluntária -,Étienne De La Boétie,121 páginas,4h 2m,4,121,5,90,1,1,14,8,76
Diário de Uma Paixão - Nunca é tarde para recomeçar,Nicholas Sparks,176 páginas,5h 52m,4.2,110950,1635,46527,127,1386,1989,275,39286
Diário De Uma Garota Nada Popular (Diário De Uma Garota Nada Popular #11) - Histórias de uma falsiane nem um POUCO simpática,Rachel Renée Russell,288 páginas,9h 36m,4.1,6040,45,1428,14,22,73,42,2198
Descobrindo a Paixão (Paixão Glamour #15) -,Michelle Celmer,192 páginas,6h 24m,4,37,0,19,0,0,3,2,23
Darkmouth - Os Caçadores de Lendas (Darkmouth #1) -,Shane Hegarty,336 páginas,11h 12m,4,151,13,85,0,7,25,11,118
Como vejo o mundo (Clássicos de Ouro) -,Albert Einstein,160 páginas,5h 20m,3.8,1660,258,3400,7,140,59,13,957
Codinome Lady V (Os Sedutores de Havisham #1) -,Lorraine Heath,339 páginas,11h 18m,4.2,7026,97,2460,4,55,673,658,5424
Capitu Vem Para o Jantar -,Denise Godinho,216 páginas,7h 12m,4.4,23,5,827,0,2,0,6,14
"Box Quarteto Smythe-Smith (Quarteto Smythe-Smith #1, 2, 3, 4) - Os Bridgertons conhecem as Smythe-Smiths. E você?",Julia Quinn,1096 páginas,1d 12h 32m,4.4,1186,49,888,2,6,25,95,663
Beije Minha Alma (Fool's Gold #17) -,Susan Mallery,272 páginas,9h 4m,4,294,14,297,0,7,25,17,208
Twin Peaks [Arquivos e Memórias] -,Brad Dukes,320 páginas,10h 40m,4,468,78,1428,2,21,34,70,313
#Prass38 -,Andrei Kampff,240 páginas,8h 0m,4.3,62,1,27,0,0,1,5,39
Algo Belo (Belo Desastre #2.6) -,Jamie McGuire,126 páginas,4h 12m,4,5471,46,3319,5,35,146,418,3196
A Viúva -,Fiona Barton,304 páginas,10h 8m,3.5,2404,89,3244,1,98,289,55,1843
A verdade é teimosa - Diários da crise que adiou o futuro,Miriam Leitão,383 páginas,12h 46m,3.8,94,16,238,0,12,14,5,71
A Tumba das Sombras (As Sete Maravilhas #3) -,Peter Lerangis,294 páginas,9h 48m,4.1,84,5,229,0,1,8,6,54
A Soma de Todos os Beijos (Quarteto Smythe-Smith #3) -,Julia Quinn,272 páginas,9h 4m,4.3,14902,138,8116,11,50,976,1755,9989
A Árvore no Quintal - Olhando Pela Janela de Anne Frank,Jeff Gottesfeld,40 páginas,1h 20m,3.9,91,4,61,0,0,6,5,56
A Rosa e a Adaga (A Fúria e a Aurora #2) -,Renée Ahdieh,364 páginas,12h 8m,4.2,4109,101,2812,3,84,332,643,3285
A Roda da Eternidade (EntreMundos #3) -,"Neil Gaiman, Mallory Reaves, Michael Reaves",256 páginas,8h 32m,4.1,379,8,413,0,4,19,24,254
A Rainha das Trevas (Trilogia As Joias Negras #3) -,Anne Bishop,512 páginas,17h 4m,4.3,651,17,3133,3,11,30,53,454
A Promessa (Myron Bolitar #8) - E se a vida de alguém dependesse da sua palavra?,Harlan Coben,352 páginas,11h 44m,4.2,3682,83,6129,6,28,278,117,2323
A Menina Que Não Acredita Em Milagres - Um verão de probabilidades,Wendy Wunder,288 páginas,9h 36m,3.7,562,24,831,1,34,71,12,425
A letra escarlate -,Nathaniel Hawthorne,272 páginas,9h 4m,3.8,5407,529,8294,10,291,531,11,3665
A Inquisição (Conjurador #2) -,Taran Matharu,350 páginas,11h 40m,4.3,3246,114,1637,7,49,178,304,2225
A garota do outro lado da rua -,Lycia Barros,112 páginas,3h 44m,3.3,1293,33,1445,2,18,96,68,883
A Cruz de Fogo (Outlander #5 Parte 1) - E se o seu futuro fosse o passado?,Diana Gabaldon,720 páginas,1d 0h 0m,4.3,3592,383,8635,11,89,272,222,2347
A Caminho do Azul Sereno (Never Sky #3) -,Veronica Rossi,352 páginas,11h 44m,4.2,643,13,1386,1,13,31,79,465
A Cabana -,William P. Young,248 páginas,8h 16m,3.8,365968,6805,105937,505,17249,4749,381,107025
"A Cabana - Guia de Estudos - Encontrando a cura para a perda, o trauma e a dor",William P. Young,192 páginas,6h 24m,4.1,396,22,1012,0,16,6,10,121
O Príncipe Feliz e Outras Histórias -,Oscar Wilde,208 páginas,6h 56m,3.9,135,4,75,0,3,13,13,88
A Dieta Espiritual -,Allan Percy,208 páginas,6h 56m,3.7,183,40,1273,3,17,15,7,110
50 Ideias de Matemática Que Você Precisa Saber (50 Ideias) -,Tony Crilly,216 páginas,7h 12m,3.7,202,61,550,1,30,13,6,138
Você pode falar com Deus - Princípios para uma oração eficaz,Pedro Siqueira,144 páginas,4h 48m,4.4,702,45,1805,1,5,51,35,454
"União Avassaladora (Paixão Ardente #014) - (Herdeiros Secretos, #2)",Amanda Cinelli,192 páginas,6h 24m,3.2,77,1,48,0,1,6,2,52
Uma Paixão Indomável -,Nora Roberts,160 páginas,5h 20m,3.8,396,8,235,0,4,33,21,283
Uma carta de amor -,Nicholas Sparks,288 páginas,9h 36m,4.2,12842,340,12126,18,211,441,62,6849
Um Instante de Felicidade -,Federico Moccia,352 páginas,11h 44m,3,281,35,3338,1,50,45,8,185
Tom Jones -,Henry Fielding,320 páginas,10h 40m,3.8,664,73,1225,4,56,33,4,380
The Walking Dead (The Walking Dead #7) - Busca e Destruição,Jay Bonansinga,294 páginas,9h 48m,3.9,830,54,3402,0,19,34,49,510
"Sussurros do País das Maravilhas (Splintered #1.5, 3.5) - Três contos de momentos mágicos e inequescíveis",A. G. Howard,272 páginas,9h 4m,4.1,2660,116,4180,2,157,289,310,1945
Sob Um Milhão de Estrelas -,Chris Melo,320 páginas,10h 40m,4.4,372,25,2928,1,9,57,72,283
Satisfação Garantida - Aprenda a fazer da felicidade um bom negócio,Tony Hsieh,256 páginas,8h 32m,4.2,765,112,1463,3,19,31,13,478
Sangue Inocente (A Ordem dos Sanguíneos) -,James Rollins,464 páginas,15h 28m,4,172,20,1754,0,5,11,14,114
Às na manga (Wild Cards #6) -,George R. R. Martin,384 páginas,12h 48m,4.2,273,16,2264,0,5,7,20,151
Regras simples - Como viver tranquilo e organizado  em um mundo cada vez mais complexo,Donald Sull,352 páginas,11h 44m,3.5,78,20,343,0,12,7,2,52
Reencontro Com a Felicidade (Desejo #250) -,"Elizabeth Lane, Margaret Major Cleaves, Ann Major",320 páginas,10h 40m,3.5,36,1,35,0,2,1,1,24
Recados do Bem -,"Ariane Freitas, Jessica Grecco",256 páginas,8h 32m,4.4,75,13,297,1,1,8,16,50
Princesa de Papel (The Royals #1) -,"Erin Watt, Jen Frederick",368 páginas,12h 16m,3.5,22929,236,8676,35,436,1357,1296,15380
Por que os homens me procuram -,Lola Benvenutti,160 páginas,5h 20m,3.7,40,6,124,0,0,4,1,26
Peter Pan -,J. M. Barrie,256 páginas,8h 32m,4.1,17708,717,9057,39,370,969,13,11462
Pequenas ideias para futuras mamães - Ou como sobreviver à maternidade,Bom & Bon,112 páginas,3h 44m,3.4,22,7,632,0,1,2,1,15
Paixões Destemidas (Jessica Especial #05) -,"Annie West, Susanna Carr",480 páginas,16h 0m,3.7,53,3,34,0,1,2,2,28
A Garota do Cemitério (A Garota do Cemitério #1) - Livro 1: Os Impostores,Charlaine Harris,128 páginas,4h 16m,3.8,345,6,1203,0,2,59,17,287
O Resgate no Mar (Outlander #3 Parte  2) -,Diana Gabaldon,656 páginas,21h 52m,4.5,4421,207,5739,6,51,207,340,2743
O que eu sei de verdade -,Oprah Winfrey,144 páginas,4h 48m,4.3,1339,97,2269,2,30,100,124,964
O mapa do sucesso -,Carol Vaz,256 páginas,8h 32m,3.5,61,6,813,0,2,1,1,31
O Livro dos Baltimore -,Joël Dicker,416 páginas,13h 52m,4.1,4647,195,6245,0,142,777,352,3793
O Fino da Bossa -,"Júlia Bezerra, Lucas Reginato",168 páginas,5h 36m,3.9,24,0,22,0,1,3,2,14
O Enigma de Blackthorn (Christopher Rowe #1) -,Kevin Sands,352 páginas,11h 44m,4.2,967,74,2675,4,29,107,88,692
O diretor (Asylum #3.5) - Um episódio da série Asylum,Madeleine Roux,92 páginas,3h 4m,3.7,483,8,870,2,8,43,24,355
O Conde de Monte Cristo -,Alexandre Dumas,1304 páginas,1d 19h 28m,4.5,31265,5156,45774,127,819,2153,1080,17799
O Clube de Leitura de Jane Austen -,Karen Joy Fowler,320 páginas,10h 40m,3.1,1239,99,5329,3,154,124,31,896
O Caminho Para Casa -,Kristin Hannah,352 páginas,11h 44m,4.5,4058,91,4291,7,41,378,173,2857
Núpcias de Vingança (Paixão Glamour #014) -,Sara Craven,192 páginas,6h 24m,3.5,60,1,25,0,1,9,3,45
Nujeen - A incrível jornada de uma garota que fugiu da guerra na Síria em uma cadeira de rodas,"Nujeen Mustafa, Christina Lamb",248 páginas,8h 16m,4.3,301,17,1115,1,9,35,24,219
"Naturalmente mais jovem - Como aumentar sua  energia, sua beleza e seu bem-estar com métodos naturais",Roxy Dillon,224 páginas,7h 28m,4.4,43,25,1037,0,6,4,6,26
"Ó, O GLOBO! - A História de um Biscoito",Ana Beatriz Manier,192 páginas,6h 24m,3.9,103,12,572,0,1,30,3,77
Mulheres perigosas -,"George R. R. Martin, Carrie Vaughn, Joe Abercrombie, Diana Gabaldon, Brandon Sanderson, Robin Hobb, Lawrence Block, Lev Grossman, Kay Kenyon",736 páginas,1d 0h 32m,3.7,684,171,4274,1,104,50,46,509
Meu menino vadio - Histórias de um garoto autista  e seu pai estranho,Luiz Fernando Vianna,208 páginas,6h 56m,4.1,467,20,553,0,6,34,27,330
Meio Mundo (Mar Despedaçado #2) -,Joe Abercrombie,368 páginas,12h 16m,4.3,1197,44,2432,0,21,88,120,936
Manguebeat - Guitarras e alfaias da lama do Recife para o mundo,"Júlia Bezerra, Lucas Reginato",176 páginas,5h 52m,4.1,20,2,28,0,1,1,3,16
Madre Teresa - Amor Maior Não Há,Madre Teresa de Calcutá,208 páginas,6h 56m,4.5,183,20,1223,1,4,19,12,128
Luigi’s - Comida de Cantina,"Veronica Dobal, Bais Marcia",100 páginas,3h 20m,8.5,0,0,9,0,0,0,0,2
Legados do Amor 4 (Jessica Minissérie #14) -,"Jennifer Hayward, Maisey Yates",320 páginas,10h 40m,3.5,34,2,39,0,1,1,1,18
Irmãos e Rivais (Paixão Especial #005) -,Maya Blake,320 páginas,10h 40m,3.7,23,0,27,0,0,1,0,12
Gelo e Fogo (Neve e Cinzas #2) -,Sara Raasch,352 páginas,11h 44m,3.8,1329,81,4735,4,73,67,78,954
Funk - A batida eletrônica dos bailes cariocas que contagiou o Brasil,"Júlia Bezerra, Lucas Reginato",160 páginas,5h 20m,3.8,14,2,15,0,0,4,1,8
"Fogo Contra Fogo (Olho Por Olho #3) - Os segredos as uniram, mas a verdade poderá separá-las para sempre.","Jenny Han, Siobhan Vivian",352 páginas,11h 44m,3.5,1746,24,1577,3,37,134,106,1242
Fic - Por Que A Fanfiction Está Dominando O Mundo,Anne Jamison,400 páginas,13h 20m,4.2,33,5,98,0,3,4,4,19
Falsas Imagens (Jessica #277) -,"Julia James, Dani Collins",320 páginas,10h 40m,3.6,40,2,39,0,0,3,1,30
Estrelas Além do Tempo -,Margot Lee Shetterly,352 páginas,11h 44m,4,835,155,4052,4,157,87,63,573
Escândalos Na Primavera (As Quatro Estações do Amor #4) -,Lisa Kleypas,224 páginas,7h 28m,4.2,12836,139,6186,11,43,930,884,8795
O Despertar (Diários do Vampiro #1) - O despertar,L. J. Smith,192 páginas,6h 24m,3.4,112638,1316,10011,116,2020,1609,19,37871
Dicas da imensidão -,Margaret Atwood,240 páginas,8h 0m,3.9,337,21,1024,0,12,43,13,240
Diário de um zumbi do Minecraft - Infeliz aniversário,Zack Zombie,160 páginas,5h 20m,4,523,16,917,4,7,10,19,248
Diário de um corpo -,Daniel Pennac,336 páginas,11h 12m,4.4,20,2,91,0,1,2,5,11
Diário de um bárbaro covarde (Diário de um bárbaro covarde #1) - Bárbaros versus goblins,Two Little Cowboys,96 páginas,3h 12m,3.5,120,5,730,0,4,10,2,75
De Pauliceia Desvairada a Lira Paulistana - Capa Dura,Mário de Andrade,470 páginas,15h 40m,4,48,6,103,0,3,6,4,30
Desintegrados (Fragmentados #2) - Bem-vindo a um mundo onde um corpo vale mais do que a vida,Neal Shusterman,416 páginas,13h 52m,4.3,738,38,1000,1,21,63,96,556
"Desejo Profundo (Paixão Audácia #14) - (Amores Inesperados, #2)",Maisey Yates,192 páginas,6h 24m,3.2,66,6,49,0,2,6,2,43
"Deep (Stage Dive #4) - Quando chega a hora de dizer sim ao amor, não há quem resista. Nem mesmo um rockstar...",Kylie Scott,320 páginas,10h 40m,3.7,4480,37,2378,6,26,206,225,2895
Crave a Marca -,Veronica Roth,480 páginas,16h 0m,4,6263,495,11534,23,545,684,563,4861
"Corpo de baile - Box - Manuelzão e Miguilim / No Urubuquaquá, no Pinhém / Noites do sertão",João Guimarães Rosa,728 páginas,1d 0h 16m,4.3,31,4,182,0,0,2,4,19
Consequências (Série Mosaico) - Uma vida guiada por escolhas e suas...,Sue Hecker,100 páginas,3h 20m,4.1,242,4,285,1,5,21,20,184
Como combater a fúria de um dragão (Como treinar o seu dragão #12) -,Cressida Cowell,496 páginas,16h 32m,4.6,809,18,1842,2,11,34,117,465
Buracos negros -,Stephen Hawking,64 páginas,2h 8m,4.3,6767,144,7634,6,29,464,260,4701
Branco Como a Neve (Branca de Neve #2) - Mãos frias. Coração congelado.,Salla Simukka,224 páginas,7h 28m,3.5,314,11,436,0,15,35,9,218
Boston Boys (Boston Boys #2) - Descendo do Palco,Giulia Paim,312 páginas,10h 24m,4.1,3228,76,2125,5,37,189,181,2225
Boston Boys (Boston Boys #1) -,Giulia Paim,360 páginas,12h 0m,3.9,5522,172,5124,13,211,381,337,3882
As 8 leis espirituais da saúde - Mensagens do Céu para melhorar a vida na Terra,"Tommy Rosa, Stephen Sinatra",240 páginas,8h 0m,4.4,109,27,1415,1,4,2,7,47
Atração Inesperada (Paixão #483) -,Anne Mather,192 páginas,6h 24m,3.4,19,1,27,0,0,0,1,13
Ao Seu Encontro (Rosemary Beach #11) -,Abbi Glines,224 páginas,7h 28m,4,4565,37,2340,5,28,142,347,2734
Aconteceu naquele verão - Doze histórias de amor,"Stephanie Perkins, Veronica Roth, Leigh Bardugo, Cassandra Clare, Jennifer E. Smith, Nina LaCour, Francesca Lia Block, Libba Bray, Lev Grossman, Kelley J. Skovron, Brandy Colbert, Tim Federle",384 páginas,12h 48m,3.6,1717,121,4217,1,135,138,75,1328
A Viagem De Rousseau -,Caulos,36 páginas,1h 12m,3.3,1,0,11,0,0,1,0,4
"A Troca - Livro que inspirou o filme original do Disney Channel ""The Swap""",Megan Shull,272 páginas,9h 4m,3.8,1125,39,2203,4,37,91,60,826
A sabedoria de Tyrion Lannister - Os principais ensinamentos do personagem mais  carismático de Game of Thrones,Lambert Oaks,224 páginas,7h 28m,3.1,203,27,1741,1,11,20,6,125
A mão do homem morto (Wild Cards #7) -,George R. R. Martin,336 páginas,11h 12m,4.2,229,13,2421,0,6,8,20,136
A longa caminhada de Billy Lynn -,Ben Fountain,304 páginas,10h 8m,3.2,55,3,137,0,8,7,2,39
A Festa dos Sonhos (Era Outra Vez #4) -,Sarah Mlynowski,160 páginas,5h 20m,4,256,8,145,0,2,10,10,153
A festa de aniversário -,"Ilan Brenman, Fernando Vilela",32 páginas,1h 4m,4.1,32,7,211,0,1,4,0,20
A Dieta Smartfood - Os 30 alimentos que estimulam a longevidade,Eliana Liotta,352 páginas,11h 44m,5,1,1,31,0,0,0,0,1
A batalha por WondLa (WondLa #3) -,Tony DiTerlizzi,400 páginas,13h 20m,4.3,36,6,165,0,1,3,4,22
30 e Poucos Anos e uma Máquina do Tempo -,Mo Daviau,304 páginas,10h 8m,3.3,533,43,2264,0,51,84,19,409
Uma História de Notáveis Caçadores de Sombras e Seres do Submundo - Contada na Linguagem das Flores,Cassandra Clare,208 páginas,6h 56m,4.5,2600,25,2034,1,3,151,292,1763
Simplesmente Amor -,Helena Andrade,210 páginas,7h 0m,4.2,110,14,2274,1,2,25,19,77
Ruído Branco -,Ana Carolina,144 páginas,4h 48m,4.2,523,17,425,3,4,39,56,359
"Protetor (Rainhas do Romance #120) - (Homens do Texas, #41)",Diana Palmer,288 páginas,9h 36m,3.7,130,2,84,0,5,14,6,91
Prometida (Perdida #4) - Uma longa jornada para casa,Carina Rissi,476 páginas,15h 52m,4.4,23624,437,18434,38,227,1231,3034,14161
O Sentido do Amor & Lembranças Eternas (Amores Improváveis #2) -,"Susan Stephens, Carol Marinelli",320 páginas,10h 40m,3.3,71,4,46,0,2,8,4,57
"O Guia Para Ser Você Mesma - Estilo, inspiração e beleza","Mel Souza, Lia Camargo",168 páginas,5h 36m,3.8,290,18,2375,0,2,18,24,211
O Encantador de Livros -,Lucas de Sousa,148 páginas,4h 56m,3.6,1170,169,5307,10,43,165,51,842
Noiva Inadequada (Paixão #481) -,Lynne Graham,192 páginas,6h 24m,3.9,68,3,45,0,0,5,5,45
Michaelis Dicionário Escolar Língua Portuguesa (Michaelis Escolar) -,Melhoramentos,992 páginas,1d 9h 4m,3.9,32,22,82,1,0,0,3,8
Legados do Amor (Jessica Minissérie #13) -,"Sharon Kendrick, Kate Hewitt",320 páginas,10h 40m,3.2,25,0,21,0,0,0,1,13
Laços do Passado (Paixão Glamour #13) -,Kate Walker,192 páginas,6h 24m,3.3,1,1,23,0,0,2,0,9
Homens Sedutores (Jessica #276) -,Kate Hewitt,320 páginas,10h 40m,3.5,1,0,17,0,0,0,1,5
Fortaleza Negra (Fortaleza Negra #1) - A Chegada da Nova Era,Kel Costa,464 páginas,15h 28m,4.2,1906,59,3019,7,55,166,142,1434
Fallen (Fallen #1) -,Lauren Kate,406 páginas,13h 32m,3.7,184986,3208,42183,427,3984,2987,63,60892
"Enfeitiçado Pela Paixão (Paixão Audácia #13) - (Amores Inesperados, 1/3)",Maisey Yates,192 páginas,6h 24m,3.8,56,1,42,0,0,2,1,39
Diário de uma Escrava -,Rô Mierling,240 páginas,8h 0m,4.1,5636,132,8528,10,61,709,698,4342
Coração Intocado (Paixão Ardente #13) - (Herdeiros Secretos 1/3),Maya Blake,192 páginas,6h 24m,3.4,3,1,24,0,0,0,0,11
Casos de Família - Arquivos Richthofen e Arquivos Nardoni,Ilana Casoy,560 páginas,18h 40m,4.4,4660,1006,8501,13,160,480,318,3228
"Aprisionada Pelo Viking (Harlequin Históricos #175) - Enslaved by The Viking (Viking Warriors, #1)",Harper St. George,288 páginas,9h 36m,3.8,98,3,115,1,1,8,7,75
Animais Fantásticos e Onde Habitam - Newt Scamander - Um Scrapbook do Filme,Rick Barba,48 páginas,1h 36m,4.2,655,4,302,0,1,38,41,466
A Herança dos Caroselli (Desejo #249) - O amor está ao lado & O amor onde menos se espera & A escolha do amor,Michelle Celmer,485 páginas,16h 10m,3.6,43,4,35,0,0,2,2,24
Unidos somos um (Os legados de Lorien #7) -,Pittacus Lore,352 páginas,11h 44m,4.4,5278,107,4740,12,27,278,555,3206
Um Sonho de Amor (Paixão #480) -,Maggie Cox,192 páginas,6h 24m,3,2,0,15,0,0,0,1,11
